8950 89 895 101 2
0 0 77
0 1 77
0 2 77
0 3 84
0 4 77
0 5 77
0 6 77
0 7 77
0 8 97
0 9 77
1 0 23
1 10 17
1 3 23
1 11 23
1 12 22
1 13 23
1 14 28
1 5 28
1 15 26
1 16 99
2 17 0
2 18 15
2 12 0
2 5 1
2 15 15
2 19 99
2 6 19
2 8 94
2 20 0
2 9 0
3 21 89
3 22 89
3 12 89
3 13 89
3 23 89
3 5 89
3 15 89
3 8 17
3 16 89
3 24 89
4 10 89
4 25 99
4 26 20
4 2 91
4 3 20
4 27 22
4 18 20
4 16 20
4 9 20
4 24 89
5 3 0
5 28 9
5 29 1
5 13 0
5 5 1
5 19 0
5 8 0
5 16 0
5 30 0
5 24 99
6 4 25
6 28 70
6 11 25
6 14 70
6 5 24
6 15 25
6 31 25
6 8 22
6 16 70
6 32 22
7 3 20
7 33 20
7 18 20
7 34 20
7 5 20
7 19 20
7 8 22
7 16 20
7 32 89
7 35 19
8 2 14
8 18 91
8 5 99
8 15 56
8 6 22
8 8 97
8 16 99
8 9 99
8 30 99
8 35 99
9 0 41
9 3 41
9 28 41
9 29 44
9 36 41
9 18 44
9 15 44
9 19 41
9 20 41
9 9 41
10 37 1
10 3 0
10 18 15
10 23 3
10 5 1
10 19 1
10 6 1
10 31 1
10 8 1
10 9 1
11 38 89
11 2 89
11 3 89
11 29 89
11 18 89
11 5 89
11 19 89
11 6 89
11 8 89
11 20 89
12 0 67
12 10 68
12 3 68
12 11 67
12 12 65
12 13 67
12 14 68
12 5 67
12 15 56
12 16 99
13 0 43
13 39 43
13 29 43
13 40 42
13 11 43
13 13 43
13 5 43
13 7 43
13 8 42
13 9 42
14 10 0
14 13 0
14 41 0
14 5 1
14 19 0
14 42 23
14 43 22
14 8 22
14 16 23
14 32 0
15 0 41
15 3 17
15 28 55
15 29 0
15 36 55
15 18 55
15 15 0
15 19 55
15 20 19
15 9 16
16 21 19
16 44 23
16 0 23
16 26 22
16 3 23
16 12 40
16 5 22
16 8 94
16 16 23
16 9 22
17 37 92
17 38 41
17 3 21
17 11 41
17 5 44
17 42 44
17 8 97
17 16 41
17 9 44
17 45 44
18 21 54
18 3 54
18 39 58
18 11 54
18 34 54
18 12 54
18 14 54
18 31 54
18 8 54
18 16 99
19 21 3
19 44 3
19 0 9
19 26 9
19 3 88
19 12 21
19 5 99
19 8 94
19 16 99
19 9 41
20 10 22
20 25 23
20 26 22
20 2 23
20 3 25
20 27 23
20 18 25
20 16 23
20 9 25
20 24 23
21 21 48
21 3 48
21 33 48
21 11 48
21 13 48
21 5 48
21 6 48
21 8 48
21 9 48
21 30 58
22 46 22
22 3 23
22 11 51
22 12 54
22 13 23
22 5 23
22 8 22
22 16 22
22 47 99
22 9 22
23 0 85
23 3 85
23 29 85
23 17 85
23 18 85
23 13 85
23 41 85
23 43 85
23 8 98
23 16 54
24 21 91
24 44 69
24 0 69
24 26 69
24 3 69
24 12 69
24 5 69
24 8 91
24 16 77
24 9 15
25 10 0
25 3 0
